kuantKiri[4],kuantKiri[6],kuantKiri[8],kuantKiri[10],kuantKiri[12],kuantKiri[14],kuantKiri[16],kuantKiri[18],kuantKiri[20],kuantKiri[22],kuantKiri[24],kuantKiri[26],kuantKiri[28],kuantKiri[30],kuantKiri[32],kuantKiri[34],kuantKiri[36],kuantKiri[38],kuantKanan[4],kuantKanan[6],kuantKanan[8],kuantKanan[10],kuantKanan[12],kuantKanan[14],kuantKanan[16],kuantKanan[18],kuantKanan[20],kuantKanan[22],kuantKanan[24],kuantKanan[26],kuantKanan[28],kuantKanan[30],kuantKanan[32],kuantKanan[34],kuantKanan[36],kuantKanan[38],stateKiri[4],stateKiri[6],stateKiri[8],stateKiri[10],stateKiri[12],stateKiri[14],stateKiri[16],stateKiri[18],stateKiri[20],stateKiri[22],stateKiri[24],stateKiri[26],stateKiri[28],stateKiri[30],stateKiri[32],stateKiri[34],stateKiri[36],stateKiri[38],stateKanan[4],stateKanan[6],stateKanan[8],stateKanan[10],stateKanan[12],stateKanan[14],stateKanan[16],stateKanan[18],stateKanan[20],stateKanan[22],stateKanan[24],stateKanan[26],stateKanan[28],stateKanan[30],stateKanan[32],stateKanan[34],stateKanan[36],stateKanan[38],tanganKiri,tanganKanan,SRERX,SRERY,ERWRX,ERWRY,WRHRX,WRHRY,SLELX,SLELY,ELWLX,ELWLY,WLHLX,WLHLY,HRHLX,HRHLY,SSSRER,SRERWR,ERWRHR,SSSLEL,SLELWL,ELWLHL,DisHRHL,stringnamagerakan
0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.151388889,-0.096944444,-0.0325,0.225555556,-0.02,0.06,-0.028611111,-0.25,0.008611111,-0.203333333,0.01,-0.047222222,-0.42,-0.700555556,2.88188386,-0.858482449,-2.962857757,-2.045307379,-2.985099728,-2.973543418,0.816810542,Hai
7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,7,0,0,0,0,3,7,0,3,0,0,0,7,0,0,0,0,7,3,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.158094136,-0.102970679,-0.034791667,0.22654321,-0.020555556,0.063055556,-0.030794753,-0.256944444,0.00746142,-0.215092593,0.013055556,-0.044367284,-0.431666667,-0.723348765,2.90226647,-0.86422841,-3.060782259,-2.108828865,-3.070663723,-2.96940522,0.842364254,Hai
0,0,8,1,0,0,0,1,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.148280393,-0.102860297,-0.036244213,0.221015089,-0.020570988,0.072584877,-0.03085541,-0.257137346,0.000207262,-0.195141461,0.014807099,-0.062065758,-0.427546296,-0.725648577,2.883238425,-0.82388439,-3.114389397,-2.106092855,-3.107459942,-2.990278028,0.842247437,Hai
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.147452233,-0.107301675,-0.036006784,0.220583752,-0.020571416,0.074238469,-0.030857095,-0.257142704,5.76E-06,-0.204865041,0.020411308,-0.052279604,-0.421876286,-0.722379127,2.858298802,-0.802158402,-3.118992791,-2.098300532,-3.108482059,-2.847413767,0.836550371,Hai
2,1,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,7,0,7,0,1,3,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.14354034,-0.097980602,-0.041000188,0.211127326,-0.021404762,0.078728846,-0.030857142,-0.258531742,-0.00249984,-0.204301807,0.012233647,-0.051729989,-0.421718786,-0.727010531,2.882961536,-0.802507259,-3.154404869,-2.106649782,-3.122296561,-2.978646409,0.840498773,Hai
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.135376121,-0.112166128,-0.035861116,0.225309092,-0.017816799,0.072186912,-0.030857143,-0.257181437,-6.94E-05,-0.203452828,0.016173157,-0.053659166,-0.425047744,-0.720194737,2.787704674,-0.741533736,-1.400399937,-2.088576974,-3.108894188,-2.920219943,0.836285795,Hai
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.140149337,-0.113115726,-0.032385031,0.226258586,-0.020494911,0.072005192,-0.030857143,-0.257143929,-1.93E-06,-0.204818134,0.018782588,-0.052323866,-0.423473548,-0.720005409,2.803476899,-0.770637286,-3.043877066,-2.094567637,-3.108521899,-2.870490639,0.835313729,Hai
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,7,0,0,0,3,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.14472637,-0.103697659,-0.045066251,0.221840516,-0.020013748,0.073111255,-0.030857143,-0.25797622,-5.36E-08,-0.200411615,0.015243961,-0.055897885,-0.420096487,-0.721111261,2.888892576,-0.770212699,-2.637864463,-2.097601027,-3.108890918,-2.950382164,0.834562635,Hai
8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.152631288,-0.099824935,-0.05125184,0.213106681,-0.020555937,0.073419757,-0.030857143,-0.257166006,0.000277776,-0.208622545,0.019867888,-0.048774941,-0.411947125,-0.721697535,2.977418723,-0.777109737,-2.829305318,-2.139752904,-3.107260051,-2.832368857,0.830995291,Hai
0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,7,7,0,0,0,7,0,0,0,4,4,0,5,1,0,7,0,3,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.144239758,-0.094995137,-0.043923662,0.208141852,-0.021404332,0.077594993,-0.030857143,-0.2571435,7.72E-06,-0.218295071,0.01999633,-0.043021526,-0.410331865,-0.729769376,2.899838787,-0.802786196,-1.937411817,-2.108433504,-3.108476507,-2.772100055,0.837245526,Hai
