kuantKiri[4],kuantKiri[6],kuantKiri[8],kuantKiri[10],kuantKiri[12],kuantKiri[14],kuantKiri[16],kuantKiri[18],kuantKiri[20],kuantKiri[22],kuantKiri[24],kuantKiri[26],kuantKiri[28],kuantKiri[30],kuantKiri[32],kuantKiri[34],kuantKiri[36],kuantKiri[38],kuantKanan[4],kuantKanan[6],kuantKanan[8],kuantKanan[10],kuantKanan[12],kuantKanan[14],kuantKanan[16],kuantKanan[18],kuantKanan[20],kuantKanan[22],kuantKanan[24],kuantKanan[26],kuantKanan[28],kuantKanan[30],kuantKanan[32],kuantKanan[34],kuantKanan[36],kuantKanan[38],tanganKiri,tanganKanan,stringnamagerakan
1,0,0,0,0,0,0,0,0,0,1,3,7,0,0,8,0,0,0,0,0,1,0,3,4,5,5,8,4,1,1,1,1,7,1,1,Perut,Kepala,Topeng
0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,0,7,1,0,0,5,5,5,4,5,5,5,0,8,1,1,3,1,8,Perut,Kepala,Topeng
8,0,0,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,6,2,4,5,7,7,8,2,2,3,3,7,5,5,5,5,Perut,Kepala,Topeng
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,5,1,6,6,5,1,3,2,5,3,7,8,1,5,Perut,Kepala,Topeng
0,8,0,7,5,3,2,0,0,1,0,3,0,0,0,0,0,8,0,0,0,0,4,4,5,5,6,0,2,2,8,1,2,3,5,7,Perut,Kepala,Topeng
0,0,3,0,0,3,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,5,5,5,5,5,2,2,1,3,8,7,8,8,0,7,Perut,Kepala,Topeng
0,0,0,0,0,0,0,1,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,5,3,6,5,7,3,3,2,1,0,1,3,Perut,Kepala,Topeng
0,0,0,0,0,0,0,0,2,0,3,0,0,7,0,0,0,0,0,1,0,0,0,0,5,3,6,6,6,0,8,2,5,7,7,1,Perut,Kepala,Topeng
0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,8,1,3,2,2,3,3,5,4,6,4,5,0,3,1,8,1,1,1,Perut,Kepala,Topeng
0,0,8,7,0,0,0,0,3,5,0,0,0,0,0,0,0,0,1,0,0,3,0,4,4,5,5,4,7,3,8,1,8,1,1,1,Perut,Kepala,Topeng
0,8,0,0,0,3,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,5,5,5,6,0,2,1,3,1,1,1,1,1,0,Perut,Kepala,Topeng
7,3,7,3,0,5,8,8,8,8,8,8,8,8,8,8,0,8,0,1,0,0,0,5,1,1,1,1,1,1,1,0,1,1,0,0,Perut,Perut,Besar
5,0,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,5,0,1,1,1,1,1,1,1,1,1,1,0,1,0,5,0,5,Perut,Perut,Besar
0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,3,7,0,0,0,8,1,1,1,1,1,1,1,1,1,1,1,1,Perut,Perut,Besar
0,1,0,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,0,2,0,0,0,1,1,1,1,1,1,1,2,1,1,1,2,8,Perut,Perut,Besar
0,0,0,0,0,7,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,2,3,0,2,1,1,1,1,1,1,2,1,1,3,Perut,Perut,Besar
8,8,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,1,0,0,7,1,1,1,1,1,1,1,2,2,1,Perut,Perut,Besar
0,0,0,0,0,0,0,0,8,7,8,8,8,8,8,8,8,8,0,3,6,0,0,3,7,0,0,1,1,1,1,1,1,1,1,1,Perut,Perut,Besar
0,8,1,0,1,8,8,8,8,8,8,8,8,8,8,8,7,8,3,0,0,0,7,1,1,8,1,1,1,1,1,1,1,1,2,1,Perut,Perut,Besar
0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,Perut,Perut,Besar
3,0,8,0,7,7,8,8,8,0,8,7,8,8,8,8,8,8,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,Perut,Perut,Besar
7,0,7,0,0,8,8,8,8,8,8,8,8,0,8,8,8,8,3,0,1,1,5,1,1,1,1,0,1,7,1,1,1,1,1,1,Perut,Perut,Besar
0,7,8,8,8,1,0,8,8,8,7,8,7,8,8,1,4,1,0,1,7,1,7,0,2,1,8,7,7,8,7,7,7,0,6,5,Perut,Perut,Bola
0,0,0,0,0,1,5,5,8,8,8,7,7,7,7,4,1,1,0,1,0,0,0,3,4,6,1,8,7,7,7,7,7,6,3,5,Dada,Dada,Bola
0,0,8,0,0,2,5,5,8,8,8,7,8,7,4,1,2,1,0,0,0,2,3,5,5,5,1,1,8,8,7,7,5,5,0,3,Perut,Perut,Bola
7,0,3,1,8,8,8,8,8,8,8,7,7,8,7,4,1,2,0,0,0,5,8,1,0,1,7,7,7,7,7,7,7,6,4,5,Perut,Perut,Bola
0,0,0,3,7,3,1,8,7,8,7,7,7,7,4,1,1,0,0,5,0,3,7,1,1,1,8,8,7,7,8,7,6,6,5,0,Perut,Perut,Bola
8,0,8,5,8,8,8,8,7,7,7,4,1,1,1,8,4,0,0,1,1,4,8,8,8,7,7,7,7,6,5,5,0,0,5,0,Perut,Perut,Bola
