SRERX,SRERY,ERWRX,ERWRY,WRHRX,WRHRY,SLELX,SLELY,ELWLX,ELWLY,WLHLX,WLHLY,HRHLX,HRHLY,SSSRER,SRERWR,ERWRHR,SSSLEL,SLELWL,ELWLHL,DisHRHL,tanganKiri,tanganKanan,stringnamagerakan
0.181148294,-0.08826,-0.0171162,0.210886266,-0.016412052,0.069223857,-0.045019308,-0.268539528,-0.020296008,-0.238507937,-0.004584281,-0.074584448,-0.56502595,-0.79245289,3.019557201,-1.056422227,-2.993457887,-2.129276731,-2.96966457,0.023723537,0.975691797,Perut,Kepala,Hai
0.157809675,-0.091896111,-0.011586561,0.209191285,-0.010733668,0.095256218,-0.04708387,-0.259681654,-0.031674889,-0.22162522,-0.007627341,-0.073460679,-0.579861832,-0.770901469,3.013257896,-1.016403536,-2.297119715,-2.117274033,-1.968090424,-0.303476911,0.965038305,Perut,Kepala,Hai
0.150692754,-0.123141895,-0.010317582,0.222399067,-0.01528606,0.086130599,-0.051425219,-0.260200372,-0.020579996,-0.212948785,-0.001888601,-0.082001127,-0.542052363,-0.761096375,2.888279858,-0.862976111,-3.089931771,-2.268739126,-3.128792811,-1.970908865,0.93440447,Perut,Kepala,Hai
0.14418591,-0.113420608,-0.0102866,0.216177752,-0.010424613,0.082392517,-0.041428478,-0.257227788,-0.030571667,-0.215915244,-5.25E-05,-0.072277809,-0.54505701,-0.751141566,2.895146027,-0.881215545,-3.1506522,-2.232314703,-3.211745357,-3.054443067,0.928064321,Perut,Kepala,Hai
0.146183785,-0.114439368,-0.011358246,0.207018656,-0.015617612,0.092563574,-0.051227954,-0.257142923,-0.019660935,-0.215999935,-0.001111152,-0.081691572,-0.539811001,-0.76054872,2.899145886,-0.876195588,-3.116054701,-2.27034392,-3.122445672,-2.453715781,0.932656078,Perut,Kepala,Hai
0.144060661,-0.115956649,-0.010315507,0.208528296,-0.010433823,0.09257121,-0.051422999,-0.257142859,-0.011657248,-0.224055554,-0.008919754,-0.073102544,-0.54499475,-0.760015242,2.830357512,-0.868018087,-3.1667911,-2.221864039,-3.081801231,2.301185641,0.935225632,Perut,Kepala,Hai
0.144000047,-0.113445954,-7.96E-06,0.215971087,-0.020563606,0.092316799,-0.051428567,-0.257142857,-0.02056455,-0.226006216,-0.000107191,-0.072000851,-0.534965274,-0.770864209,2.911655816,-0.929347282,-3.005889621,-2.270475315,-3.121655714,-3.072183647,0.938310133,Perut,Kepala,Hai
0.154000001,-0.107873499,-0.020000221,0.218776975,-0.023626767,0.0845088,-0.057261905,-0.257142857,-0.024737904,-0.21627795,-0.010002978,-0.072000024,-0.551804591,-0.761412895,2.899390655,-0.893707417,-3.044525777,-2.244121518,-3.123168192,0.410875554,0.940352567,Perut,Kepala,Hai
0.154285494,-0.116749902,-0.00029321,0.222946587,-0.020296008,0.08228743,-0.051386776,-0.257397487,-0.020443471,-0.216856696,-0.010138891,-0.07317284,-0.555147997,-0.763427016,2.895189911,-0.94838489,-2.984097072,-2.271139713,-3.125360174,3.091753108,0.943939288,Perut,Kepala,Hai
0.154285708,-0.103243053,-0.010008145,0.206192961,-0.010563778,0.092285762,-0.05142741,-0.25714993,-0.020567874,-0.226023797,-0.000281636,-0.072032579,-0.545420778,-0.771206306,2.992782662,-0.959179352,-3.163785413,-2.271121684,-3.121672541,-2.965050736,0.944588654,Perut,Kepala,Hai
0.154285714,-0.102867863,-0.010278004,0.215727582,-0.010293438,0.082563493,-0.051428539,-0.257143054,-0.02057133,-0.226278439,-0.000285601,-0.072000905,-0.545428355,-0.771422397,2.989284038,-0.961854491,-3.15270369,-2.265650567,-3.121570107,-2.962703946,0.944768002,Perut,Kepala,Hai
0.18,0.02,-0.153888889,0.159166667,-0.068611111,0.058055556,-0.05,-0.248333333,-0.02,-0.211666667,-0.009444444,-0.078333333,-0.366944444,-0.827222222,-2.906580438,-0.914742775,-2.698208828,-2.168338158,-3.037100192,2.766393146,0.904987114,Perut,Kepala,Hormat
0.185,0.020555556,-0.165941358,0.164143519,-0.067739198,0.060501543,-0.051388889,-0.256898148,-0.029166667,-0.21587963,-0.001651235,-0.072175926,-0.372692901,-0.851589506,-2.987721353,-0.91584572,-1.074550996,-2.269588586,-3.163937855,-2.07641483,0.929587529,Perut,Kepala,Hormat
0.185142747,0.020571416,-0.166092547,0.167534061,-0.066757515,0.058750387,-0.051428541,-0.255476002,-0.030578061,-0.224055463,-0.000279052,-0.07394458,-0.374006707,-0.853712646,-2.973656861,-0.926306553,-3.150138532,-2.258248731,-3.166492096,-2.920466203,0.932055136,Perut,Kepala,Hormat
0.182087299,0.010849206,-0.177113682,0.175764835,-0.059354375,0.059131955,-0.051428571,-0.257096556,-0.031127168,-0.224834874,-0.00639664,-0.079276238,-0.367055742,-0.858436462,-3.04074069,-0.865228379,-2.185914184,-2.246177969,-3.169854342,-2.990420958,0.933631598,Perut,Kepala,Hormat
0.181282475,0.007330902,-0.17961197,0.169016794,-0.059922341,0.058695318,-0.051482584,-0.257976155,-0.030849635,-0.225134903,-0.010282713,-0.08226796,-0.38313816,-0.852344473,-3.076500315,-0.818436263,1.554609558,-2.244229366,-3.168827691,-3.204470073,0.934516611,Perut,Kepala,Hormat
0.175035624,0.010203636,-0.174989221,0.164694911,-0.061108954,0.060241537,-0.051430072,-0.267166004,-0.030856934,-0.218198192,-0.010285631,-0.080340777,-0.371198282,-0.852287346,-2.989724218,-0.836594567,2.638438708,-2.257496287,-3.180285929,-1.995982614,0.929621641,Perut,Kepala,Hormat
0.174764688,0.003109725,-0.194602615,0.173182635,-0.055957646,0.058619014,-0.061837523,-0.257158307,-0.04113492,-0.226233178,-0.010347443,-0.08199872,-0.3767679,-0.861737876,-3.154125332,-0.766106047,2.091280037,-2.307957848,-3.173629185,-3.126067521,0.940524272,Perut,Kepala,Hormat
0.175132352,0.013697492,-0.185683406,0.176199518,-0.044332157,0.04607275,-0.052551042,-0.26047662,-0.041142637,-0.212950922,-0.010287429,-0.082277742,-0.387687997,-0.853381608,-3.02522467,-0.860635759,0.199132334,-2.27483819,-1.128527853,-3.161503334,0.937358416,Perut,Kepala,Hormat
0.174857355,0.000573841,-0.184788336,0.184510956,-0.050543466,0.05198771,-0.051205672,-0.257307467,-0.030865079,-0.216159684,-0.010285716,-0.082123671,-0.371255932,-0.843937794,-3.037052686,-0.81043067,-2.16315058,-2.268909132,-3.173550749,-3.111845788,0.921993119,Perut,Kepala,Hormat
0.174857149,0.000571496,-0.185133009,0.184569749,-0.051403985,0.052555214,-0.05142238,-0.26714743,-0.030857363,-0.216004436,-0.010285714,-0.072281213,-0.370312665,-0.844553828,-3.037343066,-0.809587469,-2.51520866,-2.263652451,-3.181655608,3.055152493,0.922173822,Perut,Kepala,Hormat
0.174857143,0.000849208,-0.185142584,0.186515826,-0.051427888,0.057570978,-0.051428399,-0.257420762,-0.030857149,-0.216000123,-0.010563492,-0.082007811,-0.370564241,-0.851793162,-3.035719026,-0.816535863,0.751702776,-2.270913704,-3.174473471,-2.868002979,0.928910095,Perut,Kepala,Hormat
0.17,-0.078888889,-0.036111111,0.188888889,-0.080277778,-0.000277778,-0.03,-0.26,-0.03,-0.21,-0.008055556,-0.079444444,-0.461666667,-0.718055556,2.71415611,-0.94733531,-1.756431071,-2.007423487,3.114572204,-3.099870456,0.853680212,Perut,Kepala,Ketua
0.173333333,-0.07441358,-0.059614198,0.187469136,-0.077507716,-0.010285494,-0.030833333,-0.247222222,-0.030833333,-0.225555556,-0.005501543,-0.075540123,-0.462824074,-0.722723765,2.824490745,-0.881249168,-1.791413566,-2.112756928,3.216758903,-0.198851351,0.858272959,Perut,Kepala,Ketua
0.174578189,-0.073367603,-0.058433344,0.18858601,-0.048632336,-0.015069665,-0.030857124,-0.246857425,-0.030579347,-0.220490398,-0.010282023,-0.077805201,-0.499230574,-0.712301484,2.91199573,-0.90207219,-1.583297915,-2.173710744,3.042930332,-0.25592551,0.870064321,Perut,Kepala,Ketua
0.174849394,-0.081760211,-0.051623148,0.186071834,-0.07107312,-0.002085268,-0.031412698,-0.246857151,-0.030293871,-0.226124733,-0.010285612,-0.072161256,-0.474145294,-0.719230597,2.846425305,-0.88756737,-1.861426184,-2.176022821,2.870638899,3.125621614,0.861476862,Perut,Kepala,Ketua
0.164579359,-0.082285309,-0.045039833,0.189032463,-0.07442984,-0.012779387,-0.030857572,-0.246857143,-0.030856708,-0.22628559,-0.00834127,-0.080333458,-0.47515752,-0.719443851,2.771936595,-0.898745387,-1.678039241,-2.119361358,3.219591043,-1.97246464,0.862221273,Perut,Kepala,Ketua
0.164571649,-0.084507925,-0.043751106,0.184695346,-0.069567496,0.000200573,-0.040857155,-0.246857143,-0.030857131,-0.226285711,-0.010231702,-0.072231485,-0.48319882,-0.709984551,2.80825102,-0.889552481,-1.867500702,-2.177540702,-3.022538606,3.080432629,0.858865215,Perut,Kepala,Ketua
0.172642416,-0.052565207,-0.090766783,0.174664117,-0.064235777,0.001296451,-0.041034612,-0.256857143,-0.020857143,-0.223230159,-0.010285673,-0.075333512,-0.441306481,-0.730810173,3.050347853,-0.832933547,-1.961815503,-2.159912263,-3.096251289,3.012447717,0.854004349,Perut,Kepala,Ketua
0.174517845,-0.061460145,-0.0525213,0.184851781,-0.087339883,-0.008852876,-0.04113985,-0.247412698,-0.027246032,-0.232034171,-0.003619046,-0.075981486,-0.456702958,-0.721411394,3.010644577,-0.983152848,-1.791788179,-2.166653483,-3.180386745,-0.89306205,0.853850347,Perut,Kepala,Ketua
0.174856881,-0.061436312,-0.051529723,0.185142633,-0.091101343,-0.010531522,-0.031142855,-0.25074646,-0.030576579,-0.232609594,-0.009725015,-0.072072517,-0.453384802,-0.720031953,3.011752957,-0.988966919,-1.776279581,-2.12427841,3.044501208,2.875624733,0.850890159,Perut,Kepala,Ketua
0.174857136,-0.061706564,-0.051431381,0.185142851,-0.082530593,-0.010292542,-0.030865079,-0.256965179,-0.030849349,-0.224239155,-0.009436806,-0.074224237,-0.461760689,-0.720000888,3.010314838,-0.988028165,-1.766729282,-2.120124275,3.208647935,1.312378,0.855354621,Perut,Kepala,Ketua
0.174857143,-0.061714071,-0.051428649,0.185142857,-0.067570294,-0.016397015,-0.030857363,-0.247137922,-0.030856926,-0.226784421,-0.010262133,-0.081506229,-0.477548908,-0.713888914,3.01027489,-0.988002089,-1.614873458,-2.124934951,3.219872664,-2.746197319,0.85910323,Perut,Kepala,Ketua
