kuantKiri[4],kuantKiri[6],kuantKiri[8],kuantKiri[10],kuantKiri[12],kuantKiri[14],kuantKiri[16],kuantKiri[18],kuantKiri[20],kuantKiri[22],kuantKiri[24],kuantKiri[26],kuantKiri[28],kuantKiri[30],kuantKiri[32],kuantKiri[34],kuantKiri[36],kuantKiri[38],kuantKanan[4],kuantKanan[6],kuantKanan[8],kuantKanan[10],kuantKanan[12],kuantKanan[14],kuantKanan[16],kuantKanan[18],kuantKanan[20],kuantKanan[22],kuantKanan[24],kuantKanan[26],kuantKanan[28],kuantKanan[30],kuantKanan[32],kuantKanan[34],kuantKanan[36],kuantKanan[38],tanganKiri,tanganKanan,SRERX,SRERY,ERWRX,ERWRY,WRHRX,WRHRY,SLELX,SLELY,ELWLX,ELWLY,WLHLX,WLHLY,HRHLX,HRHLY,SSSRER,SRERWR,ERWRHR,SSSLEL,SLELWL,ELWLHL,DisHRHL,stringnamagerakan
1,0,0,0,0,0,0,0,0,0,1,3,7,0,0,8,0,0,0,0,0,1,0,3,4,5,5,8,4,1,1,1,1,7,1,1,Perut,Kepala,-0.054166667,0.005,-0.069166667,0.1325,-0.003333333,0.033333333,-0.041111111,-0.2325,-0.024444444,-0.2125,-0.001388889,-0.067777778,-0.257777778,-0.705833333,0.590071526,1.008619897,0.310898353,-2.132959748,-1.335557735,-1.999150514,0.765533919,Topeng
0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,0,7,1,0,0,5,5,5,4,5,5,5,0,8,1,1,3,1,8,Perut,Kepala,-0.034282407,0.005972222,-0.09275463,0.213958333,-0.009814815,0.05537037,-0.057253086,-0.264791667,-0.03345679,-0.218402778,-0.000871914,-0.068549383,-0.27382716,-0.807662037,1.140578024,0.672694168,2.390572393,-2.127610137,-3.118514492,-2.007609216,0.862212794,Topeng
8,0,0,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,6,2,4,5,7,7,8,2,2,3,3,7,5,5,5,5,Perut,Kepala,-0.081909169,0.125776213,-0.089253669,0.180936696,-0.018788437,0.039525749,-0.028585843,-0.26447129,-0.00197026,-0.22155741,0.00788513,-0.061372337,-0.17049678,-0.894836159,-0.55562495,-0.25989309,-0.028885785,-2.065456683,-3.129653502,-3.089213382,0.91530159,Topeng
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,5,1,6,6,5,1,3,2,5,3,7,8,1,5,Perut,Kepala,-0.03283081,0.122938228,-0.116645935,0.159748242,-0.000244123,0.046653493,-0.029960718,-0.248179758,0.005778604,-0.228098817,0.010219031,-0.060593676,-0.199736022,-0.875689893,-0.977183962,-0.344497084,1.206326599,-2.075395931,-3.081480828,-3.084911063,0.901571671,Topeng
0,8,0,7,5,3,2,0,0,1,0,3,0,0,0,0,0,8,0,0,0,0,4,4,5,5,6,0,2,2,8,1,2,3,5,7,Perut,Kepala,-0.048474406,-0.022412856,-0.08535235,0.199745176,-0.008086608,0.03563785,-0.035632686,-0.249041805,-0.005844307,-0.21111736,0.002507885,-0.068619285,-0.222654117,-0.771292971,0.832109946,0.815600355,1.074173821,-2.125838165,-3.113734736,-2.111165781,0.811477278,Topeng
0,0,3,0,0,3,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,5,5,5,5,5,2,2,1,3,8,7,8,8,0,7,Perut,Kepala,-0.020790956,0.024377421,-0.109315343,0.191104033,-0.016057961,0.024878829,-0.032656463,-0.252195606,-0.010162342,-0.210586593,0.003402997,-0.07329498,-0.230073725,-0.790035916,0.369539489,0.081295387,0.603055137,-2.112876058,-3.148375747,-3.104094414,0.833759099,Topeng
0,0,0,0,0,0,0,1,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,5,3,6,5,7,3,3,2,1,0,1,3,Perut,Kepala,-0.002083944,0.032773439,-0.040547311,-0.013031556,-0.010220724,-0.011732347,-0.026074581,-0.25063441,-0.018642101,-0.213526687,0.001777317,-0.078420752,-0.309861168,-0.562106509,-0.06002544,0.484380427,1.025217492,-2.070858411,-1.284114303,-3.117876391,0.663332281,Topeng
0,0,0,0,0,0,0,0,2,0,3,0,0,7,0,0,0,0,0,1,0,0,0,0,5,3,6,6,6,0,8,2,5,7,7,1,Perut,Kepala,-0.025057887,0.008410373,-0.081404092,0.175471346,-0.012228353,0.02106299,-0.023224294,-0.254462067,-0.016351169,-0.213986852,0.000604925,-0.069956132,-0.261107255,-0.752558514,0.907692068,0.402371959,1.097976627,-2.054467202,-0.369241586,-2.969070204,0.808565069,Topeng
0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,8,1,3,2,2,3,3,5,4,6,4,5,0,3,1,8,1,1,1,Perut,Kepala,0.01346832,-0.033018202,-0.133218676,0.190474901,-0.021135979,0.047963783,-0.035650636,-0.271369184,-0.012396876,-0.215944434,0.006049849,-0.070833299,-0.225587274,-0.754060616,0.916622905,0.36002863,2.237908739,-2.095207542,-3.095306416,-3.08529791,0.798320074,Topeng
0,0,8,7,0,0,0,0,3,5,0,0,0,0,0,0,0,0,1,0,0,3,0,4,4,5,5,4,7,3,8,1,8,1,1,1,Perut,Kepala,0.074540787,-0.039528283,-0.143978297,0.209735414,-0.024753777,0.044665661,-0.031268073,-0.257538033,-0.013122135,-0.217109568,0.002390274,-0.074189814,-0.272099647,-0.761779462,0.891812614,-0.3451917,1.524729517,-2.072240196,-3.167555909,-2.61263741,0.814441022,Topeng
